N,P,K,temperature,humidity,ph,rainfall,Year,Area_Harvested,Production,Yield,Crops
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2014,44110000.0,158214000.0,3586.8,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2015,43499200.0,156604000.0,3600.2,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2016,43993400.0,164539000.0,3740.1,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2017,43774000.0,169128000.0,3863.7,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2018,44156000.0,174711000.0,3956.7,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2019,43662000.0,178296000.0,4083.6,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2020,45769000.0,186543000.0,4075.7,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2021,46279000.0,194198000.0,4196.2,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2022,47832000.0,203624000.0,4257.1,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2023,47828000.0,206727000.0,4322.3,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2004,41906700.0,124697104.0,2975.6,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2005,43659800.0,137690096.0,3153.7,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2006,43810000.0,139136992.0,3175.9,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2007,43910000.0,144570000.0,3292.4,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2008,45537400.0,148036000.0,3250.9,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2009,41918300.0,135672992.0,3236.6,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2010,42862400.0,143963008.0,3358.7,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2011,44010000.0,157900000.0,3587.8,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2012,42754000.0,157800000.0,3690.9,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2013,44135950.0,159960000.0,3624.3,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2014,44110000.0,158214000.0,3586.8,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2015,43499200.0,156604000.0,3600.2,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2016,43993400.0,164539000.0,3740.1,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2017,43774000.0,169128000.0,3863.7,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2018,44156000.0,174711000.0,3956.7,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2019,43662000.0,178296000.0,4083.6,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2020,45769000.0,186543000.0,4075.7,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2021,46279000.0,194198000.0,4196.2,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2022,47832000.0,203624000.0,4257.1,12
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,2023,47828000.0,206727000.0,4322.3,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2004,41906700.0,124697104.0,2975.6,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2005,43659800.0,137690096.0,3153.7,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2006,43810000.0,139136992.0,3175.9,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2007,43910000.0,144570000.0,3292.4,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2008,45537400.0,148036000.0,3250.9,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2009,41918300.0,135672992.0,3236.6,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2010,42862400.0,143963008.0,3358.7,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2011,44010000.0,157900000.0,3587.8,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2012,42754000.0,157800000.0,3690.9,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2013,44135950.0,159960000.0,3624.3,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2014,44110000.0,158214000.0,3586.8,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2015,43499200.0,156604000.0,3600.2,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2016,43993400.0,164539000.0,3740.1,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2017,43774000.0,169128000.0,3863.7,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2018,44156000.0,174711000.0,3956.7,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2019,43662000.0,178296000.0,4083.6,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2020,45769000.0,186543000.0,4075.7,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2021,46279000.0,194198000.0,4196.2,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2022,47832000.0,203624000.0,4257.1,12
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,2023,47828000.0,206727000.0,4322.3,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2004,41906700.0,124697104.0,2975.6,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2005,43659800.0,137690096.0,3153.7,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2006,43810000.0,139136992.0,3175.9,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2007,43910000.0,144570000.0,3292.4,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2008,45537400.0,148036000.0,3250.9,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2009,41918300.0,135672992.0,3236.6,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2010,42862400.0,143963008.0,3358.7,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2011,44010000.0,157900000.0,3587.8,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2012,42754000.0,157800000.0,3690.9,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2013,44135950.0,159960000.0,3624.3,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2014,44110000.0,158214000.0,3586.8,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2015,43499200.0,156604000.0,3600.2,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2016,43993400.0,164539000.0,3740.1,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2017,43774000.0,169128000.0,3863.7,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2018,44156000.0,174711000.0,3956.7,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2019,43662000.0,178296000.0,4083.6,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2020,45769000.0,186543000.0,4075.7,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2021,46279000.0,194198000.0,4196.2,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2022,47832000.0,203624000.0,4257.1,12
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,2023,47828000.0,206727000.0,4322.3,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2004,41906700.0,124697104.0,2975.6,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2005,43659800.0,137690096.0,3153.7,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2006,43810000.0,139136992.0,3175.9,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2007,43910000.0,144570000.0,3292.4,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2008,45537400.0,148036000.0,3250.9,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2009,41918300.0,135672992.0,3236.6,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2010,42862400.0,143963008.0,3358.7,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2011,44010000.0,157900000.0,3587.8,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2012,42754000.0,157800000.0,3690.9,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2013,44135950.0,159960000.0,3624.3,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2014,44110000.0,158214000.0,3586.8,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2015,43499200.0,156604000.0,3600.2,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2016,43993400.0,164539000.0,3740.1,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2017,43774000.0,169128000.0,3863.7,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2018,44156000.0,174711000.0,3956.7,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2019,43662000.0,178296000.0,4083.6,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2020,45769000.0,186543000.0,4075.7,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2021,46279000.0,194198000.0,4196.2,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2022,47832000.0,203624000.0,4257.1,12
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,2023,47828000.0,206727000.0,4322.3,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2004,41906700.0,124697104.0,2975.6,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2005,43659800.0,137690096.0,3153.7,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2006,43810000.0,139136992.0,3175.9,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2007,43910000.0,144570000.0,3292.4,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2008,45537400.0,148036000.0,3250.9,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2009,41918300.0,135672992.0,3236.6,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2010,42862400.0,143963008.0,3358.7,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2011,44010000.0,157900000.0,3587.8,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2012,42754000.0,157800000.0,3690.9,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2013,44135950.0,159960000.0,3624.3,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2014,44110000.0,158214000.0,3586.8,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2015,43499200.0,156604000.0,3600.2,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2016,43993400.0,164539000.0,3740.1,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2017,43774000.0,169128000.0,3863.7,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2018,44156000.0,174711000.0,3956.7,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2019,43662000.0,178296000.0,4083.6,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2020,45769000.0,186543000.0,4075.7,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2021,46279000.0,194198000.0,4196.2,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2022,47832000.0,203624000.0,4257.1,12
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,2023,47828000.0,206727000.0,4322.3,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2004,41906700.0,124697104.0,2975.6,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2005,43659800.0,137690096.0,3153.7,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2006,43810000.0,139136992.0,3175.9,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2007,43910000.0,144570000.0,3292.4,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2008,45537400.0,148036000.0,3250.9,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2009,41918300.0,135672992.0,3236.6,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2010,42862400.0,143963008.0,3358.7,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2011,44010000.0,157900000.0,3587.8,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2012,42754000.0,157800000.0,3690.9,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2013,44135950.0,159960000.0,3624.3,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2014,44110000.0,158214000.0,3586.8,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2015,43499200.0,156604000.0,3600.2,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2016,43993400.0,164539000.0,3740.1,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2017,43774000.0,169128000.0,3863.7,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2018,44156000.0,174711000.0,3956.7,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2019,43662000.0,178296000.0,4083.6,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2020,45769000.0,186543000.0,4075.7,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2021,46279000.0,194198000.0,4196.2,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2022,47832000.0,203624000.0,4257.1,12
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,2023,47828000.0,206727000.0,4322.3,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2004,41906700.0,124697104.0,2975.6,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2005,43659800.0,137690096.0,3153.7,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2006,43810000.0,139136992.0,3175.9,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2007,43910000.0,144570000.0,3292.4,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2008,45537400.0,148036000.0,3250.9,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2009,41918300.0,135672992.0,3236.6,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2010,42862400.0,143963008.0,3358.7,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2011,44010000.0,157900000.0,3587.8,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2012,42754000.0,157800000.0,3690.9,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2013,44135950.0,159960000.0,3624.3,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2014,44110000.0,158214000.0,3586.8,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2015,43499200.0,156604000.0,3600.2,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2016,43993400.0,164539000.0,3740.1,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2017,43774000.0,169128000.0,3863.7,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2018,44156000.0,174711000.0,3956.7,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2019,43662000.0,178296000.0,4083.6,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2020,45769000.0,186543000.0,4075.7,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2021,46279000.0,194198000.0,4196.2,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2022,47832000.0,203624000.0,4257.1,12
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,2023,47828000.0,206727000.0,4322.3,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2004,41906700.0,124697104.0,2975.6,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2005,43659800.0,137690096.0,3153.7,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2006,43810000.0,139136992.0,3175.9,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2007,43910000.0,144570000.0,3292.4,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2008,45537400.0,148036000.0,3250.9,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2009,41918300.0,135672992.0,3236.6,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2010,42862400.0,143963008.0,3358.7,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2011,44010000.0,157900000.0,3587.8,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2012,42754000.0,157800000.0,3690.9,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2013,44135950.0,159960000.0,3624.3,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2014,44110000.0,158214000.0,3586.8,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2015,43499200.0,156604000.0,3600.2,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2016,43993400.0,164539000.0,3740.1,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2017,43774000.0,169128000.0,3863.7,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2018,44156000.0,174711000.0,3956.7,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2019,43662000.0,178296000.0,4083.6,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2020,45769000.0,186543000.0,4075.7,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2021,46279000.0,194198000.0,4196.2,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2022,47832000.0,203624000.0,4257.1,12
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,2023,47828000.0,206727000.0,4322.3,12
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,2004,41906700.0,124697104.0,2975.6,12
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,2005,43659800.0,137690096.0,3153.7,12
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,2006,43810000.0,139136992.0,3175.9,12
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,2007,43910000.0,144570000.0,3292.4,12
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,2008,45537400.0,148036000.0,3250.9,12
