Element,Value,N,P,K,temperature,humidity,ph,rain fall,label
Production,6340000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,6220000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,5310000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,5460000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,6120000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,6610000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,6491362.24,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,645000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,657153.03,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,665402.67,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,674080.08,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,758528.68,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,792199.13,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,819427.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,847701.58,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,876007.99,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,904054.36,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,931687.99,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,739900.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,791000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,868000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,761000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,863000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,935000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,1097000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,1231000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,1266000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,1368000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,1478000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,1498000.0,100.32,17.72,50.08,28.663065756,92.3428019609,6.35880545179,24.689952066,Cantaloupes and other melons
Production,5118100.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,3855400.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,5473000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,4236800.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,5717500.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,5469400.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,5575400.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,6333700.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,5748600.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,7060000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,7480000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,8220000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,7700000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,8832500.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,9530000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,7332000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,7058000.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,9377560.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,11379190.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,9937990.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,11078500.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,11911180.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,13543630.0,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,12267289.55,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,8350000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,8670000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,8920000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,8630000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,8380000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,8829000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,10190000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,10894000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,10148300.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,10824300.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,10840000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,10280000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,10560000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,11930000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,11078873.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,11209641.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,11344306.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,11166772.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,16413000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,14682000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,14006000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,14301000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,13317000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,14163000.0,21.98,16.93,30.59,27.4098921723,94.8442718061,5.97656212619,175.686645804,"Coconuts, in shell"
Production,292000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,301000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,275275.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,270500.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,275500.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,274000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,288000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,262000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,262300.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,289600.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,302000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,314000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,318200.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,304500.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,327000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,348000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,312000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,316000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,319500.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,298000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,334000.0,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,340406.47,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,332848.31,101.2,28.74,29.94,25.5404768193,58.8698463003,6.79030827457,158.066294882,"Coffee, green"
Production,1677060.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1905102.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1853838.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1845000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1692000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1795000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1857000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1840000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1734000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,2021500.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1799100.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1960380.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1912000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1944000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1968000.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1789200.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1853749.2,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1877760.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1726380.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1709460.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1700820.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1611540.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1757160.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1618020.0,78.4,46.86,39.99,24.9583758265,79.6398642063,6.73277756817,174.792797536,"Jute, raw or retted"
Production,1078900.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,915200.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,974400.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,873200.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1037800.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,994200.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,946200.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,910000.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,810000.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,953300.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1031600.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,943800.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1058700.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1134000.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1017000.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1035000.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,976000.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1223850.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1621810.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1227820.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1103030.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1493850.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1268830.0,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,1558636.62,18.77,68.36,19.41,24.5090524026,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,12043200.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,13160200.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,11151700.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,14984300.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,14172000.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,14709900.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,15097000.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,18955400.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,19731400.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,16719500.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,21725800.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,21760000.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,22260000.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,24259510.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,24170000.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,22570000.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,25899870.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,28752880.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,27715100.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,28765970.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,10503500.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,10056800.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,10020200.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,12733200.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,11490000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,11829700.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,12663100.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,13734000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,13997000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,12750000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,15026700.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,15188000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,16196000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,18002000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,18431330.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,18527000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,18643000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,23332000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,24966000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,25631000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,24678000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,24968000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,26299000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,26236000.0,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.7045150448,"Mangoes, guavas and mangosteens"
Production,2674700.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
Production,2574700.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
Production,2870500.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
Production,1921900.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
Production,3263200.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
Production,3314000.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
Production,3437400.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
Production,4266900.0,19.58,16.55,10.01,22.7657254967,92.1702087634,7.01695745276,110.47496872,Oranges
