Element,N,P,K,temperature,humidity,ph,rainfall,label
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,100.32,17.72,50.08,28.663065756,92.34280196089999,6.35880545179,24.689952066,Cantaloupes and other melons
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,40.09,67.79,79.92,18.8728467519,16.8604394237,7.33695662374,80.0589772605,"Chick peas, dry"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804,"Coconuts, in shell"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,101.2,28.74,29.94,25.5404768193,58.869846300300004,6.79030827457,158.066294882,"Coffee, green"
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,23.18,132.53,200.11,23.849575120049998,81.8752275212,6.025936681099999,69.611828886,Grapes
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,78.4,46.86,39.99,24.9583758265,79.6398642063,6.7327775681699995,174.792797536,"Jute, raw or retted"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,18.77,68.36,19.41,24.509052402600002,64.8047846785,6.927931571609999,45.680454204,"Lentils, dry"
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663,Maize (corn)
Production,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.70451504479999,"Mangoes, guavas and mangosteens"
Production,20.07,27.18,29.92,31.2087701513,50.1565726953,5.766372799660001,94.70451504479999,"Mangoes, guavas and mangosteens"
